Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780351357,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780351358,50,,Aggregated,0.000000,0.000000,16,17,17,17,19,21,34,83,100,100,100,2670,0,16,17.368763100680912,8.054124999034684,103.140874998644,71.0
1780351359,100,,Aggregated,0.000000,0.000000,26,30,31,32,34,37,42,74,100,110,110,5768,0,26,24.763077254288966,8.054124999034684,109.17625000001863,71.0
1780351360,150,,Aggregated,1532.000000,0.000000,31,39,45,47,52,55,59,78,140,160,160,8749,0,31,32.902162207876614,8.054124999034684,164.84858300100313,71.0
1780351361,200,,Aggregated,2264.000000,0.000000,40,50,56,59,66,74,83,86,190,210,210,11700,0,40,41.1418884055338,8.054124999034684,206.33425000414718,71.0
1780351362,200,,Aggregated,2547.333333,0.000000,49,58,63,65,70,75,83,86,180,210,210,14694,0,49,46.22099854871513,8.054124999034684,206.33425000414718,71.0
1780351363,200,,Aggregated,2643.500000,0.000000,54,60,63,65,71,76,82,85,180,210,210,17904,0,54,48.884126888720665,8.054124999034684,206.33425000414718,71.0
1780351364,200,,Aggregated,2690.400000,0.000000,56,61,64,67,72,77,82,84,160,210,210,20983,0,56,50.987158733899626,8.054124999034684,206.33425000414718,71.0
1780351365,200,,Aggregated,2773.666667,0.000000,58,64,67,69,73,77,81,84,160,210,210,23850,0,58,53.18606254241296,8.054124999034684,206.33425000414718,71.0
1780351366,200,,Aggregated,2843.285714,0.000000,60,65,68,69,74,78,82,84,160,210,210,26730,0,60,54.80540036215866,8.054124999034684,206.33425000414718,71.0
1780351367,200,,Aggregated,2841.375000,0.000000,61,66,68,70,74,79,82,84,160,210,210,29677,0,61,56.02317595473536,8.054124999034684,206.33425000414718,71.0
1780351368,200,,Aggregated,2840.000000,0.000000,62,67,69,71,75,79,83,85,150,200,210,32490,0,62,57.28785199091291,8.054124999034684,206.33425000414718,71.0
